qas_id,review,question,human_ans_spans,human_ans_indices
q12,"Chennai is also famous for its traditional cuisine, which includes South Indian dishes such as dosa, idli, and sambar. The city celebrates various festivals with great fervor, including Pongal, Diwali, and Tamil New Year. Chennai has a tropical wet and dry climate, characterized by hot and humid weather conditions. Tamil is the primary language spoken in the city, and the traditional attire includes sarees for women and dhotis for men.",What is the primary language spoken in Chennai?,Tamil is the primary language spoken in the city,"(317, 365)"
q13,"Chennai is also famous for its traditional cuisine, which includes South Indian dishes such as dosa, idli, and sambar. The city celebrates various festivals with great fervor, including Pongal, Diwali, and Tamil New Year. Chennai has a tropical wet and dry climate, characterized by hot and humid weather conditions. Tamil is the primary language spoken in the city, and the traditional attire includes sarees for women and dhotis for men.",What is the traditional attire of Chennai?,sarees for women and dhotis for men,"(403, 438)"
q14,"Chennai, the vibrant capital city of Tamil Nadu, India, boasts a plethora of luxurious 5-star hotels, each offering a unique blend of opulence, comfort, and world-class hospitality. From iconic landmarks to modern marvels, these hotels cater to the discerning needs of travelers seeking a luxurious stay in the bustling metropolis. Some of the prominent 5-star hotels in Chennai include Taj Coromandel, The Leela Palace, ITC Grand Chola, Park Hyatt Chennai, and The Ritz-Carlton.",Name some 5-star hotels in Chennai.,"Taj Coromandel, The Leela Palace, ITC Grand Chola, Park Hyatt Chennai, and The Ritz-Carlton","(387, 476)"
q15,"Chennai, the vibrant capital city of Tamil Nadu, India, boasts a plethora of luxurious 5-star hotels, each offering a unique blend of opulence, comfort, and world-class hospitality. From iconic landmarks to modern marvels, these hotels cater to the discerning needs of travelers seeking a luxurious stay in the bustling metropolis. Some of the prominent 5-star hotels in Chennai include Taj Coromandel, The Leela Palace, ITC Grand Chola, Park Hyatt Chennai, and The Ritz-Carlton.",What can travelers expect from 5-star hotels in Chennai?,"opulence, comfort, and world-class hospitality","(134, 180)"
q16,"Guindy National Park, nestled within the bustling city of Chennai, Tamil Nadu, spans 2.70 km2, making it the 8th-smallest National Park in India. Its history dates back to the 1670s when it served as a game reserve and later evolved into a designated national park in 1978. Today, it boasts a thriving ecosystem teeming with wildlife. With over 350 plant species, including indigenous trees like the sugar-apple and neem, the park offers a verdant haven for flora and fauna alike.",What is the size of Guindy National Park?,2.70 km2,"(85, 93)"
q17,"Guindy National Park, nestled within the bustling city of Chennai, Tamil Nadu, spans 2.70 km2, making it the 8th-smallest National Park in India. Its history dates back to the 1670s when it served as a game reserve and later evolved into a designated national park in 1978. Today, it boasts a thriving ecosystem teeming with wildlife. With over 350 plant species, including indigenous trees like the sugar-apple and neem, the park offers a verdant haven for flora and fauna alike.",When was Guindy National Park declared a national park?,1978,"(268, 272)"
q18,"Visitors to Guindy National Park can explore its natural wonders, from the vibrant birdlife to the majestic blackbucks and spotted deer that roam freely within its boundaries. Adjacent to the park lies the Guindy Snake Park and Children's Park, providing additional opportunities for education and recreation. Managed by dedicated forest rangers, entry into the park is restricted, ensuring the preservation of its natural beauty and biodiversity.",What types of wildlife can be found in Guindy National Park?,from the vibrant birdlife to the majestic blackbucks and spotted deer,"(66, 135)"
q19,"Guindy National Park is open on all days of the week from 9:30 am to 5:30 pm. Guindy National Park Chennai Entry Fee: Rs. 20 per person for Adults, Rs. 5 per person for Children (Above 10 yrs of age), Rs. 2 per person for School Children (Between 5 to 12 years of age), Rs. 10 for Still Camera, Rs. 75 for Video Camera. The parking charge for heavy vehicles is Rs.50 each and Rs.5 for motor car, Van and MotorCycle.",On what days of the week is guindy national park open?,all days of the week from 9:30 am to 5:30 pm,"(32, 76)"
q20,"Guindy National Park is open on all days of the week from 9:30 am to 5:30 pm. Guindy National Park Chennai Entry Fee: Rs. 20 per person for Adults, Rs. 5 per person for Children (Above 10 yrs of age), Rs. 2 per person for School Children (Between 5 to 12 years of age), Rs. 10 for Still Camera, Rs. 75 for Video Camera. The parking charge for heavy vehicles is Rs.50 each and Rs.5 for motor car, Van and MotorCycle.",What is the Guindy National Park Ticket Price?,"Rs. 20 per person for Adults, Rs. 5 per person for Children","(118, 177)"
q21,"Guindy National Park is open on all days of the week from 9:30 am to 5:30 pm. Guindy National Park Chennai Entry Fee: Rs. 20 per person for Adults, Rs. 5 per person for Children (Above 10 yrs of age), Rs. 2 per person for School Children (Between 5 to 12 years of age), Rs. 10 for Still Camera, Rs. 75 for Video Camera. The parking charge for heavy vehicles is Rs.50 each and Rs.5 for motor car, Van and MotorCycle.",Do I have to pay for taking cameras to guindy national park?,"Rs. 10 for Still Camera, Rs. 75 for Video Camera.","(270, 319)"
q22,"Guindy National Park is open on all days of the week from 9:30 am to 5:30 pm. Guindy National Park Chennai Entry Fee: Rs. 20 per person for Adults, Rs. 5 per person for Children (Above 10 yrs of age), Rs. 2 per person for School Children (Between 5 to 12 years of age), Rs. 10 for Still Camera, Rs. 75 for Video Camera. The parking charge for heavy vehicles is Rs.50 each and Rs.5 for motor car, Van and MotorCycle.",Does Guindy National Park have free parking?,"The parking charge for heavy vehicles is Rs.50 each and Rs.5 for motor car, Van and MotorCycle.","(320, 415)"
q25,"Guindy National Park can be visited anytime during the year however the favourite time of travellers visiting Chennai is from November to February when the temperatures are less as compared to the rest of the year. Major spectacles located in the vicinity of Guindy National Park are Birla Planetarium, Phoenix Marketcity, and MGR film city.  Address: Opp IIT Madras, Guindy National Park, Guindy, Chennai, Tamil Nadu, 600025, India. Phone: 044-29505150, +91 4422200335. E-Mail: wlwchennai@yahoo.co.in",Tourist Attractions near guindy national park?,"Birla Planetarium, Phoenix Marketcity, and MGR film city.","(284, 341)"
q26,"Guindy National Park can be visited anytime during the year however the favourite time of travellers visiting Chennai is from November to February when the temperatures are less as compared to the rest of the year. Major spectacles located in the vicinity of Guindy National Park are Birla Planetarium, Phoenix Marketcity, and MGR film city.  Address: Opp IIT Madras, Guindy National Park, Guindy, Chennai, Tamil Nadu, 600025, India. Phone: 044-29505150, +91 4422200335. E-Mail: wlwchennai@yahoo.co.in",Give me the address of guindy national park,"Opp IIT Madras, Guindy National Park, Guindy, Chennai, Tamil Nadu, 600025, India.","(352, 433)"
q27,"Guindy National Park can be visited anytime during the year however the favourite time of travellers visiting Chennai is from November to February when the temperatures are less as compared to the rest of the year. Major spectacles located in the vicinity of Guindy National Park are Birla Planetarium, Phoenix Marketcity, and MGR film city.  Address: Opp IIT Madras, Guindy National Park, Guindy, Chennai, Tamil Nadu, 600025, India. Phone: 044-29505150, +91 4422200335. E-Mail: wlwchennai@yahoo.co.in",Guindy National Park contact details,"Phone: 044-29505150, +91 4422200335. E-Mail: wlwchennai@yahoo.co.in","(434, 501)"
q28,"Arignar Anna Zoological Park (AAZP), commonly known as the Vandalur Zoo, is situated in Vandalur, southwest of Chennai, Tamil Nadu, approximately 31 kilometers from Chennai Central and 15 kilometers from Chennai Airport. Established in 1855, it holds the distinction of being India's first public zoo and operates under the auspices of the Central Zoo Authority of India. Spanning an extensive area of 602 hectares, the zoo is home to a diverse array of flora and fauna, encompassing 2,553 species.",What is Arignar Anna Zoo also called as?,Vandalur Zoo,"(59, 71)"
q29,"Arignar Anna Zoological Park (AAZP), commonly known as the Vandalur Zoo, is situated in Vandalur, southwest of Chennai, Tamil Nadu, approximately 31 kilometers from Chennai Central and 15 kilometers from Chennai Airport. Established in 1855, it holds the distinction of being India's first public zoo and operates under the auspices of the Central Zoo Authority of India. Spanning an extensive area of 602 hectares, the zoo is home to a diverse array of flora and fauna, encompassing 2,553 species.",Where is vandalur zoo?,"Vandalur, southwest of Chennai, Tamil Nadu","(88, 130)"
q30,"Arignar Anna Zoological Park (AAZP), commonly known as the Vandalur Zoo, is situated in Vandalur, southwest of Chennai, Tamil Nadu, approximately 31 kilometers from Chennai Central and 15 kilometers from Chennai Airport. Established in 1855, it holds the distinction of being India's first public zoo and operates under the auspices of the Central Zoo Authority of India. Spanning an extensive area of 602 hectares, the zoo is home to a diverse array of flora and fauna, encompassing 2,553 species.",how far is vandalur zoo from chennai central?,approximately 31 kilometers from Chennai Central,"(132, 180)"
q31,"Arignar Anna Zoological Park (AAZP), commonly known as the Vandalur Zoo, is situated in Vandalur, southwest of Chennai, Tamil Nadu, approximately 31 kilometers from Chennai Central and 15 kilometers from Chennai Airport. Established in 1855, it holds the distinction of being India's first public zoo and operates under the auspices of the Central Zoo Authority of India. Spanning an extensive area of 602 hectares, the zoo is home to a diverse array of flora and fauna, encompassing 2,553 species.",how far is vandalur zoo from chennai airport?,15 kilometers from Chennai Airport,"(185, 219)"
q32,"Arignar Anna Zoological Park (AAZP), commonly known as the Vandalur Zoo, is situated in Vandalur, southwest of Chennai, Tamil Nadu, approximately 31 kilometers from Chennai Central and 15 kilometers from Chennai Airport. Established in 1855, it holds the distinction of being India's first public zoo and operates under the auspices of the Central Zoo Authority of India. Spanning an extensive area of 602 hectares, the zoo is home to a diverse array of flora and fauna, encompassing 2,553 species.",When was AAZP established?,1855,"(236, 240)"
q35,"Arignar Anna Zoological Park (AAZP), commonly known as the Vandalur Zoo, is situated in Vandalur, southwest of Chennai, Tamil Nadu, approximately 31 kilometers from Chennai Central and 15 kilometers from Chennai Airport. Established in 1855, it holds the distinction of being India's first public zoo and operates under the auspices of the Central Zoo Authority of India. Spanning an extensive area of 602 hectares, the zoo is home to a diverse array of flora and fauna, encompassing 2,553 species.",how many species can I see at vandalur zoo?,"2,553 species","(484, 497)"
q37,"Arignar Anna Zoological Park is India's largest zoo. The zoo also has a lion safari, an elephant safari, a nocturnal animal house, walk-through aviary, butterfly house, reptile house and a crocodile enclosure. The park has tree-lined paved paths for long treks inside the campus. Strategically positioned within the Chennai Metropolitan Area, the zoo is accessible via road and rail, offering a rich biodiversity experience to visitors from all corners of the city.",What can I do at Arignar Anna zoo?,"lion safari, an elephant safari","(72, 103)"
q38,"Arignar Anna Zoological Park is India's largest zoo. The zoo also has a lion safari, an elephant safari, a nocturnal animal house, walk-through aviary, butterfly house, reptile house and a crocodile enclosure. The park has tree-lined paved paths for long treks inside the campus. Strategically positioned within the Chennai Metropolitan Area, the zoo is accessible via road and rail, offering a rich biodiversity experience to visitors from all corners of the city.",how can I reach vandalur zoo?,accessible via road and rail,"(354, 382)"
q39,"By the 1970s, along with rivers being dammed and polluted, India’s croc populations had been brought to the brink of extinction. Realizing this fact, the Indian government protected three species of Indian crocodiles under the Wildlife Protection Act of 1972. The Madras Crocodile Bank focused on the specific goal of securing breeding populations of the 3 species of Indian crocodilians: the mugger (Crocodylus palustris), the saltwater crocodile (Crocodylus porosus) and, the gharial (Gavialis gangeticus).",Goal of madras croc bank?,securing breeding populations of the 3 species of Indian crocodilians,"(318, 387)"
q40,"By the 1970s, along with rivers being dammed and polluted, India’s croc populations had been brought to the brink of extinction. Realizing this fact, the Indian government protected three species of Indian crocodiles under the Wildlife Protection Act of 1972. The Madras Crocodile Bank focused on the specific goal of securing breeding populations of the 3 species of Indian crocodilians: the mugger (Crocodylus palustris), the saltwater crocodile (Crocodylus porosus) and, the gharial (Gavialis gangeticus).",Name a few crocodile species in Madras Crocodile Bank?,"the mugger (Crocodylus palustris), the saltwater crocodile (Crocodylus porosus) and, the gharial (Gavialis gangeticus)","(389, 507)"
q41,"Today Croc Bank is home to 15 species of crocodiles, 3 of which are listed by the IUCN as Critically Endangered with a further 3 listed as threatened. The Croc Bank now successfully breeds several species of threatened chelonians, including four listed as critically endangered. As the need for conservation of reptiles grew, the Croc Bank increased its repertoire to include turtles, lizards and snakes and it came to be known as the Madras Crocodile Bank Trust and Center for Herpetology in 1993.",How many species of crocodiles can I see at madras croc bank?,15 species of crocodiles,"(27, 51)"
q42,"Today Croc Bank is home to 15 species of crocodiles, 3 of which are listed by the IUCN as Critically Endangered with a further 3 listed as threatened. The Croc Bank now successfully breeds several species of threatened chelonians, including four listed as critically endangered. As the need for conservation of reptiles grew, the Croc Bank increased its repertoire to include turtles, lizards and snakes and it came to be known as the Madras Crocodile Bank Trust and Center for Herpetology in 1993.",Can I see any other animals at the croc bank?,"turtles, lizards and snakes","(376, 403)"
q45,"The Madras Crocodile Bank Trust and Centre for Herpetology is one of the largest reptile zoos in the world. It is spread over eight and a half acres of land. We give you an opportunity to have an interactive experience with the various denizens at the zoo. Apart from our guided tours we have a wide variety of other activities for all ages that are both informative and fun. ACTIVITIES: VR AT THE CROC BANK, UNDERWATER GHARIAL EXHIBIT, FEEDING.The Croc Bank is situated approximately 45km south of Chennai. The zoo is easily accessed by one buses, taxis and auto-rickshaws through East Coast Road.",Name a few activities I can do at madras croc bank.,"VR AT THE CROC BANK, UNDERWATER GHARIAL EXHIBIT, FEEDING","(388, 444)"
q46,"The Madras Crocodile Bank Trust and Centre for Herpetology is one of the largest reptile zoos in the world. It is spread over eight and a half acres of land. We give you an opportunity to have an interactive experience with the various denizens at the zoo. Apart from our guided tours we have a wide variety of other activities for all ages that are both informative and fun. ACTIVITIES: VR AT THE CROC BANK, UNDERWATER GHARIAL EXHIBIT, FEEDING.The Croc Bank is situated approximately 45km south of Chennai. The zoo is easily accessed by one buses, taxis and auto-rickshaws through East Coast Road.",Where is the croc bank?,approximately 45km south of Chennai,"(471, 506)"
q47,"The Madras Crocodile Bank Trust and Centre for Herpetology is one of the largest reptile zoos in the world. It is spread over eight and a half acres of land. We give you an opportunity to have an interactive experience with the various denizens at the zoo. Apart from our guided tours we have a wide variety of other activities for all ages that are both informative and fun. ACTIVITIES: VR AT THE CROC BANK, UNDERWATER GHARIAL EXHIBIT, FEEDING.The Croc Bank is situated approximately 45km south of Chennai. The zoo is easily accessed by one buses, taxis and auto-rickshaws through East Coast Road.",How to reach the madras croc bank?,"buses, taxis and auto-rickshaws through East Coast Road","(542, 597)"
q48,"Vedanthangal Bird Sanctuary is a 30-hectare (74-acre) protected area located in the Madurantakam taluk of the Chengalpattu District in the state of Tamil Nadu, India. The sanctuary is about 75 kilometres (47 mi) from Chennai on National Highway 45 ([NH45]). It is easily reachable from Madurantakam and Chengalpattu. More than 40,000 birds (including 26 rare species), from various parts of the world visit the sanctuary during the migratory season every year.",Where is vedanthangal bird sanctuary?,Madurantakam taluk of the Chengalpattu District,"(84, 131)"
q49,"Vedanthangal Bird Sanctuary is a 30-hectare (74-acre) protected area located in the Madurantakam taluk of the Chengalpattu District in the state of Tamil Nadu, India. The sanctuary is about 75 kilometres (47 mi) from Chennai on National Highway 45 ([NH45]). It is easily reachable from Madurantakam and Chengalpattu. More than 40,000 birds (including 26 rare species), from various parts of the world visit the sanctuary during the migratory season every year.",what is the area of vedanthangal bird sanctuary?,30-hectare (74-acre),"(33, 53)"
q50,"Vedanthangal Bird Sanctuary is a 30-hectare (74-acre) protected area located in the Madurantakam taluk of the Chengalpattu District in the state of Tamil Nadu, India. The sanctuary is about 75 kilometres (47 mi) from Chennai on National Highway 45 ([NH45]). It is easily reachable from Madurantakam and Chengalpattu. More than 40,000 birds (including 26 rare species), from various parts of the world visit the sanctuary during the migratory season every year.",which road do I take to reach vedanthangal bird sanctuary?,National Highway 45 ([NH45]),"(228, 256)"
q51,"Vedanthangal Bird Sanctuary is a 30-hectare (74-acre) protected area located in the Madurantakam taluk of the Chengalpattu District in the state of Tamil Nadu, India. The sanctuary is about 75 kilometres (47 mi) from Chennai on National Highway 45 ([NH45]). It is easily reachable from Madurantakam and Chengalpattu. More than 40,000 birds (including 26 rare species), from various parts of the world visit the sanctuary during the migratory season every year.",how many bird species can  I see at vedanthangal bird sanctuary?,"More than 40,000 birds","(317, 339)"
q52,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1471",name a few birds you can see at vedanthangal bird sanctuary?,"pintail, garganey, grey wagtail","(48, 79)"
q53,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1472",which is the oldest water bird sanctuary in india?,Vedanthangal is the oldest water bird sanctuary,"(130, 177)"
q55,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1474",what are the timings at vedanthangal bird sanctuary?,Timing: 6:00 AM-6:00 PM.,"(255, 279)"
q56,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1475",what is the ticket price at vedanthangal?,Rs 25 For Adults,"(294, 310)"
q57,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1476",does vedanthangal have free parking?,Rs 10 For Parking charge,"(312, 336)"
q58,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1477",do I have to pay to bring cameras to vedanthangal bird sanctuary?,Rs 25 For still cameras,"(338, 361)"
q59,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1478",what is the best time to visit vedanthangal bird sanctuary?,November-March,"(383, 397)"
q60,"Vedanthangal is home to migratory birds such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper and the like. Vedanthangal is the oldest water bird sanctuary in the country. Vedanthangal in Tamil language means 'hamlet of the hunter'. Timing: 6:00 AM-6:00 PM. Ticket price: Rs 25 For Adults, Rs 10 For Parking charge, Rs 25 For still cameras. Best time to visit: November-March. Contact Number: 044-2235-1479",give me contact details for vedanthangal bird sanctuary?,Contact Number: 044-2235-1471,"(399, 428)"
q61,"Adyar Eco Park, locally known as Tholkappia Poonga is an ecological park set up in the Adyar estuary area to restore fragile ecosystem of the Adyar estuary and creek. A total of 143 species of fish, amphibians, birds and reptiles have been seen in the park and the number is expected to go up to 200. More than 85 different kinds of birds, including rare black bittern, cinnamon bittern, black-winged kite, white-bellied sea eagle, pied kingfisher, yellow wagtails and black-winged stilt.",what is adyar eco park also known as?,Tholkappia Poonga,"(33, 50)"
q62,"Adyar Eco Park, locally known as Tholkappia Poonga is an ecological park set up in the Adyar estuary area to restore fragile ecosystem of the Adyar estuary and creek. A total of 143 species of fish, amphibians, birds and reptiles have been seen in the park and the number is expected to go up to 200. More than 85 different kinds of birds, including rare black bittern, cinnamon bittern, black-winged kite, white-bellied sea eagle, pied kingfisher, yellow wagtails and black-winged stilt.",where is adyar eco park ?,in the Adyar estuary area,"(80, 105)"
q63,"Adyar Eco Park, locally known as Tholkappia Poonga is an ecological park set up in the Adyar estuary area to restore fragile ecosystem of the Adyar estuary and creek. A total of 143 species of fish, amphibians, birds and reptiles have been seen in the park and the number is expected to go up to 200. More than 85 different kinds of birds, including rare black bittern, cinnamon bittern, black-winged kite, white-bellied sea eagle, pied kingfisher, yellow wagtails and black-winged stilt.",how many species of animals can I see at adyar eco park?,A total of 143 species,"(167, 189)"
q64,"Adyar Eco Park, locally known as Tholkappia Poonga is an ecological park set up in the Adyar estuary area to restore fragile ecosystem of the Adyar estuary and creek. A total of 143 species of fish, amphibians, birds and reptiles have been seen in the park and the number is expected to go up to 200. More than 85 different kinds of birds, including rare black bittern, cinnamon bittern, black-winged kite, white-bellied sea eagle, pied kingfisher, yellow wagtails and black-winged stilt.",name a few birds I can see at adyar eco park?,"rare black bittern, cinnamon bittern, black-winged kite","(350, 405)"
q65,"Adyar Eco Park, locally known as Tholkappia Poonga is an ecological park set up in the Adyar estuary area to restore fragile ecosystem of the Adyar estuary and creek. A total of 143 species of fish, amphibians, birds and reptiles have been seen in the park and the number is expected to go up to 200. More than 85 different kinds of birds, including rare black bittern, cinnamon bittern, black-winged kite, white-bellied sea eagle, pied kingfisher, yellow wagtails and black-winged stilt.",what is the purpose of adyar eco park?,to restore fragile ecosystem of the Adyar estuary and creek,"(106, 165)"
q67,"Adyar Eco-Park will be closed on all Public Holidays. Reporting Time: 10.30am on Saturday / 2.30pm on Tuesday, Thursday & Saturday. Guided Tours: Rs. 20/- Per Person, Car / Jeep Parking, Rs.20/-Per Vehicle. Still Camera: Rs. 50/-Per Camera, Video Camera, Rs. 100/-Per Camera.",what days of the week can I visit adyar eco park?,"Tuesday, Thursday & Saturday","(102, 130)"
q68,"Adyar Eco-Park will be closed on all Public Holidays. Reporting Time: 10.30am on Saturday / 2.30pm on Tuesday, Thursday & Saturday. Guided Tours: Rs. 20/- Per Person, Car / Jeep Parking, Rs.20/-Per Vehicle. Still Camera: Rs. 50/-Per Camera, Video Camera, Rs. 100/-Per Camera.",what is the reporting time for adyar eco park?,"10.30am on Saturday / 2.30pm on Tuesday, Thursday & Saturday","(70, 130)"
q69,"Adyar Eco-Park will be closed on all Public Holidays. Reporting Time: 10.30am on Saturday / 2.30pm on Tuesday, Thursday & Saturday. Guided Tours: Rs. 20/- Per Person, Car / Jeep Parking, Rs.20/-Per Vehicle. Still Camera: Rs. 50/-Per Camera, Video Camera, Rs. 100/-Per Camera.",How much are the guided tours at adyar eco park?,Rs. 20/- Per Person,"(146, 165)"
q70,"Adyar Eco-Park will be closed on all Public Holidays. Reporting Time: 10.30am on Saturday / 2.30pm on Tuesday, Thursday & Saturday. Guided Tours: Rs. 20/- Per Person, Car / Jeep Parking, Rs.20/-Per Vehicle. Still Camera: Rs. 50/-Per Camera, Video Camera, Rs. 100/-Per Camera.",what are the parking charges at adyar eco park?,Rs.20/-Per Vehicle,"(187, 205)"
q71,"Adyar Eco-Park will be closed on all Public Holidays. Reporting Time: 10.30am on Saturday / 2.30pm on Tuesday, Thursday & Saturday. Guided Tours: Rs. 20/- Per Person, Car / Jeep Parking, Rs.20/-Per Vehicle. Still Camera: Rs. 50/-Per Camera, Video Camera, Rs. 100/-Per Camera.",do I have to pay to bring cameras to adyar eco park?,"Still Camera: Rs. 50/-Per Camera, Video Camera, Rs. 100/-Per Camera","(207, 274)"
